Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS,IBM,PG
2017-06-02,206.6999969482422,78.48999786376953,159.14999389648438,38.86249923706055,190.22999572753906,105.94999694824219,103.11000061035156,31.979999542236328,45.88999938964844,,213.30999755859375,155.35000610351562,128.46096801757812,36.31999969482422,130.0800018310547,82.63999938964844,153.74000549316406,65.47000122070312,71.76000213623047,52.97999954223633,90.86000061035156,125.1500015258789,179.38999938964844,46.439998626708984,96.1500015258789,83.0999984741211,79.62000274658203,107.18000030517578,,
2017-06-05,206.22000122070312,78.97000122070312,160.22000122070312,38.48249816894531,188.9499969482422,105.19999694824219,103.19000244140625,31.760000228881836,45.9900016784668,,213.99000549316406,154.7899932861328,127.94339752197266,36.34000015258789,130.36000061035156,82.79000091552734,152.7899932861328,65.06999969482422,72.27999877929688,53.0099983215332,91.37999725341797,125.37999725341797,179.3699951171875,46.369998931884766,96.55000305175781,83.37999725341797,80.26000213623047,106.5199966430664,,
2017-06-06,205.41000366210938,78.8499984741211,159.52999877929688,38.61249923706055,186.75,104.55000305175781,104.16999816894531,31.559999465942383,45.97999954223633,,214.52999877929688,154.1999969482422,127.22456359863281,36.130001068115234,130.8300018310547,82.95999908447266,151.22999572753906,64.66999816894531,72.5199966430664,52.47999954223633,91.0999984741211,124.02999877929688,180.82000732421875,46.439998626708984,95.79000091552734,81.44999694824219,78.93000030517578,105.5,,
2017-06-07,205.00999450683594,79.80999755859375,161.66000366210938,38.842498779296875,188.10000610351562,103.51000213623047,103.7699966430664,31.610000610351562,45.5099983215332,,215.77999877929688,154.9600067138672,127.20539093017578,36.2599983215332,130.75,83.91000366210938,151.94000244140625,64.05999755859375,72.38999938964844,53.22999954223633,91.38999938964844,123.5,183.2100067138672,46.5,96.08999633789062,81.45999908447266,79.1500015258789,105.91999816894531,,
2017-06-08,205.94000244140625,79.94999694824219,162.64999389648438,38.747501373291016,189.92999267578125,105.01000213623047,104.0,31.610000610351562,45.130001068115234,,218.75999450683594,153.5,128.0009002685547,36.47999954223633,130.5500030517578,84.94999694824219,151.42999267578125,63.20000076293945,71.94999694824219,53.20000076293945,91.25,123.77999877929688,181.69000244140625,46.189998626708984,96.08999633789062,81.47000122070312,78.93000030517578,104.31999969482422,,
2017-06-09,206.92999267578125,80.30999755859375,164.05999755859375,37.244998931884766,190.02999877929688,105.91999816894531,106.4000015258789,31.3700008392334,45.31999969482422,,222.44000244140625,152.9600067138672,128.23092651367188,35.709999084472656,131.52999877929688,86.95999908447266,151.47999572753906,64.38999938964844,70.31999969482422,53.459999084472656,87.2699966430664,125.2300033569336,181.4600067138672,46.720001220703125,94.55999755859375,80.98999786376953,79.41999816894531,105.62000274658203,,
2017-06-12,207.38999938964844,80.16999816894531,164.8800048828125,36.35499954223633,190.0,106.06999969482422,108.04000091552734,31.25,45.33000183105469,,221.91000366210938,152.17999267578125,127.72295379638672,35.72999954223633,131.82000732421875,86.9800033569336,148.47000122070312,64.38999938964844,69.77999877929688,54.029998779296875,86.18000030517578,125.66999816894531,179.25,47.189998626708984,93.5,81.80999755859375,79.23999786376953,107.04000091552734,,
2017-06-13,209.11000061035156,80.58999633789062,164.42999267578125,36.647499084472656,191.08999633789062,105.75,108.12999725341797,31.700000762939453,45.029998779296875,,224.1999969482422,153.99000549316406,128.80599975585938,35.880001068115234,132.02000427246094,87.2699966430664,149.82000732421875,63.27000045776367,70.6500015258789,54.310001373291016,87.2699966430664,126.0999984741211,181.0500030517578,46.459999084472656,95.08000183105469,81.80000305175781,79.5199966430664,106.55999755859375,,
2017-06-14,210.00999450683594,80.83999633789062,165.10000610351562,36.290000915527344,192.3800048828125,104.70999908447266,106.5999984741211,31.600000381469727,45.29999923706055,,226.50999450683594,156.75999450683594,128.6622314453125,35.529998779296875,132.77000427246094,87.08999633789062,150.67999267578125,63.369998931884766,70.2699966430664,54.65999984741211,87.16999816894531,127.95999908447266,182.36000061035156,46.689998626708984,95.31999969482422,82.87999725341797,79.9000015258789,106.13999938964844,,
2017-06-15,211.2899932861328,80.69999694824219,164.11000061035156,36.0724983215332,195.4499969482422,106.4000015258789,106.33000183105469,31.579999923706055,45.25,,223.22999572753906,156.77000427246094,128.88267517089844,35.310001373291016,133.0399932861328,86.56999969482422,151.1699981689453,63.189998626708984,69.9000015258789,52.900001525878906,86.2699966430664,129.02000427246094,180.3800048828125,46.63999938964844,94.16999816894531,82.55999755859375,78.91000366210938,105.9800033569336,,
2017-06-16,213.24000549316406,81.44999694824219,162.4199981689453,35.567501068115234,196.44000244140625,107.5999984741211,108.3499984741211,31.6299991607666,45.310001373291016,,221.80999755859375,156.63999938964844,129.03602600097656,35.209999084472656,134.35000610351562,86.18000030517578,151.99000549316406,62.970001220703125,70.0,51.099998474121094,86.0,129.44000244140625,181.6300048828125,46.630001068115234,94.16999816894531,78.44000244140625,75.23999786376953,105.51000213623047,,
2017-06-19,213.36000061035156,81.87999725341797,165.08999633789062,36.584999084472656,199.0800018310547,107.48999786376953,107.45999908447266,31.989999771118164,45.380001068115234,,226.1300048828125,158.80999755859375,130.1957550048828,35.5099983215332,134.07000732421875,88.06999969482422,153.13999938964844,63.68000030517578,70.87000274658203,52.02000045776367,87.54000091552734,128.27000427246094,183.02000427246094,46.56999969482422,94.79000091552734,79.80999755859375,75.5,105.37000274658203,,
2017-06-20,213.36000061035156,82.51000213623047,166.2899932861328,36.252498626708984,198.3300018310547,107.04000091552734,106.4800033569336,31.850000381469727,45.61000061035156,,225.10000610351562,157.6699981689453,129.3043975830078,34.86000061035156,134.22000122070312,87.5199966430664,154.07000732421875,64.52999877929688,69.91000366210938,51.560001373291016,86.91999816894531,128.75,183.27000427246094,45.939998626708984,94.37999725341797,78.30000305175781,75.54000091552734,103.94000244140625,,
2017-06-21,212.86000061035156,82.20999908447266,171.35000610351562,36.467498779296875,199.1699981689453,103.47000122070312,104.48999786376953,31.84000015258789,45.220001220703125,,222.49000549316406,156.58999633789062,128.67181396484375,34.58000183105469,134.91000366210938,87.12000274658203,153.72999572753906,65.45999908447266,70.2699966430664,52.59000015258789,87.55999755859375,128.5800018310547,184.9199981689453,45.40999984741211,94.54000091552734,78.12000274658203,76.23999786376953,104.80000305175781,,
2017-06-22,212.22000122070312,82.25,173.82000732421875,36.407501220703125,199.44000244140625,103.83999633789062,104.44999694824219,31.850000381469727,45.06999969482422,,219.77000427246094,155.47999572753906,128.49929809570312,34.36000061035156,136.0500030517578,87.0199966430664,154.8000030517578,66.0199966430664,70.26000213623047,52.400001525878906,88.47000122070312,128.30999755859375,186.5,45.41999816894531,93.94999694824219,76.37000274658203,75.5199966430664,104.22000122070312,,
2017-06-23,212.89999389648438,82.22000122070312,172.5,36.56999969482422,202.22999572753906,104.11000061035156,105.0,32.09000015258789,45.25,,217.19000244140625,151.30999755859375,128.42262268066406,34.189998626708984,136.42999267578125,86.86000061035156,154.63999938964844,66.16000366210938,71.20999908447266,52.849998474121094,88.62000274658203,127.66000366210938,185.25,45.38999938964844,95.58000183105469,76.33999633789062,74.83999633789062,104.36000061035156,,
2017-06-26,212.61000061035156,82.95999908447266,173.6699981689453,36.45500183105469,199.97999572753906,104.25,104.13999938964844,32.2400016784668,45.43000030517578,,220.44000244140625,151.4199981689453,128.681396484375,34.06999969482422,136.33999633789062,87.23999786376953,153.9600067138672,65.91999816894531,70.52999877929688,53.279998779296875,88.11000061035156,127.94999694824219,185.1199951171875,45.75,95.22000122070312,77.52999877929688,75.5,105.56999969482422,,
2017-06-27,209.77999877929688,83.08000183105469,170.85000610351562,35.932498931884766,198.88999938964844,103.93000030517578,104.06999969482422,31.760000228881836,45.04999923706055,,220.27999877929688,152.24000549316406,127.40666961669922,33.650001525878906,135.00999450683594,88.05000305175781,153.72000122070312,65.54000091552734,69.20999908447266,52.95000076293945,87.68000030517578,127.37999725341797,184.60000610351562,44.84000015258789,94.9000015258789,77.26000213623047,76.01000213623047,105.41000366210938,,
2017-06-28,210.6199951171875,83.97000122070312,174.07000732421875,36.45750045776367,199.6199951171875,106.44999694824219,104.27999877929688,32.08000183105469,45.31999969482422,,223.22000122070312,153.22999572753906,128.40345764160156,34.20000076293945,133.82000732421875,89.81999969482422,154.3000030517578,65.16000366210938,69.80000305175781,53.36000061035156,88.08999633789062,127.77999877929688,185.6999969482422,44.84000015258789,96.2300033569336,77.08999633789062,76.51000213623047,106.86000061035156,,
2017-06-29,207.85000610351562,83.62999725341797,172.58999633789062,35.91999816894531,197.4600067138672,105.63999938964844,104.12000274658203,31.40999984741211,44.83000183105469,,224.41000366210938,152.16000366210938,126.82201385498047,33.540000915527344,132.63999938964844,91.1500015258789,153.1300048828125,64.33999633789062,68.48999786376953,53.16999816894531,86.80000305175781,126.38999938964844,185.27000427246094,44.40999984741211,94.41999816894531,78.37000274658203,75.93000030517578,105.70999908447266,,
2017-06-30,208.19000244140625,84.23999786376953,172.22999572753906,36.005001068115234,197.75,107.45999908447266,104.33000183105469,31.299999237060547,44.849998474121094,,221.89999389648438,153.39999389648438,127.751708984375,33.7400016784668,132.2899932861328,91.4000015258789,153.16000366210938,64.08999633789062,68.93000030517578,59.0,86.5999984741211,126.52999877929688,185.4199981689453,44.65999984741211,93.77999877929688,78.30999755859375,75.68000030517578,106.25,,
